,id,category,corpus
0,0,Sports,play game half half game point scored play rank play play play rank scored rank team play scored night team win scored player point win point team win game team team half scored player point player game half night night rank
1,1,Computers,paper front front paper issue paper error number issue number number error number paper number issue number issue issue front number issue issue issue error
2,2,Society,firework security leave midnight midnight light leave friend celebration crowd midnight celebration celebration terrorism light light terrorism celebration firework terrorism leave friend crowd security friend crowd firework crowd crowd security
3,3,Recreation,commercial traffic flight passenger midnight traffic aviation traffic commercial system flight thousand flight control air flight passenger commercial flight air air traffic traffic passenger commercial system thousand air cancel air midnight passenger thousand system cancel air midnight cancel aviation aviation air control air control midnight
4,4,Arts,television television program program show produce program television show produce show program produce program
5,5,Computers,government government village red y2k y2k computer y2k computer village y2k red rebel village rebel computer y2k red rebel government y2k
6,6,Computers,crowd celebrate million problem million crowd computer celebrate million crowd billion billion billion celebrate problem problem government million crowd firework vast firework city city vast celebrate government computer million vast crowd vast celebrate city million celebrate computer government celebrate firework computer
7,7,Society,thousand calendar western western midnight midnight calendar religious western religious calendar thousand religious thousand western thousand midnight calendar thousand thousand calendar
8,8,Arts,festivity firework thousand crowd millennium million hour festivity million ball million millennium midnight celebration watch countless crowd night dancer officer million firework hour show thousand music celebration dancer officer millennium midnight watch midnight city midnight millennium night millennium ball music holy night show midnight hour midnight ball hour crowd celebration music countless millennium celebration crowd crowd festivity hour firework crowd city millennium thousand holy firework crowd show watch city dancer officer holy celebration firework countless
9,9,Society,rain night family night parade night friend rain rain millennium rain night parade family night parade parade millennium family parade night friend parade parade millennium night parade millennium family friend night night rain
10,10,Sports,even night even close close celebration crowd celebration crowd crowd night event close event even event celebration celebration crowd night
11,11,Games,foot foot foot block square foot million block million block side foot foot block side side square foot square side million
12,12,Arts,duet complete duet dancer duet complete dancer complete duet dancer
13,13,Sports,party party even horse even horse midnight race race midnight midnight even horse party horse even race
14,14,Computers,government problem technology economic economic fix computer problem program problem technology problem problem system problem y2k problem midnight rollover problem analyst analyst glitches recession failure fix ahead problem computer computer problem problem midnight government operation problem problem recession problem problem billion glitches economic problem government glitches analyst technology government operation computer fix program computer glitches government computer rollover system ahead computer y2k system computer recession warn system computer problem problem y2k failure computer failure midnight billion computer warn computer problem operation computer computer problem program analyst computer ahead y2k warn fix problem billion rollover system problem
15,15,Recreation,y2k y2k preparation y2k y2k real farm y2k farm farm turkey preparation preparation real real food turkey y2k y2k y2k food food turkey farm farm
16,16,Recreation,farm y2k farm real food preparation y2k real preparation preparation turkey y2k turkey food y2k y2k real turkey farm farm y2k y2k y2k food farm
17,17,Society,christian jew jewish pilgrim evangelical jew pilgrim site christian jewish christian night jew site site night christian evangelical pilgrim muslim jew jewish muslim evangelical christian jewish muslim night
18,18,Society,home ball party crazy hour watch hour home police hour midnight celebration crowd police worker watch midnight watch crowd crazy celebration worker crazy police watch party home home crowd worker party celebration ball celebration home ball midnight hour ball midnight midnight hour
19,19,Society,party nation party party party show think nation crowd show think show nation crowd nation think crowd
20,20,Health,hair drug party night night salon project night plan mayor sleep hair job mayor daughter mayor plan money hair sleep project daughter mayor mayor need mayor daughter want mother want night money sleep salon drug mayor salon drug night need project dinner dinner mother job party party night plan need mother want night dinner job money mayor
21,21,Society,police police police celebration mount police officer officer area celebration police mount terrorist officer area police crowd officer crowd terrorist mount terrorist police terrorist celebration crowd area police police area officer police crowd police terrorist
22,22,Arts,film guest white dinner serve dinner hour president white crowd white show president film white silver dinner singer president white singer guest pool crowd midnight midnight crowd serve singer dinner guest crowd hour white midnight guest pool serve white film silver show guest hour silver white show pool silver hour president
23,23,Computers,early official early computer computer spent nation system slot system midnight slot midnight power computer y2k y2k problem y2k power y2k problem computer power plant system y2k early computer power y2k computer y2k y2k plant report slot nuclear clock clock midnight nuclear nuclear official system problem computer nation problem problem report system center clock problem plant report nuclear report center report problem past nation past center slot spent problem plant plant nation official past midnight y2k spent problem
24,24,Arts,spectacular party party party official laser dancer festival official party laser spectacular official sign line real party light official line dancer light sign real event laser line sign festival line dancer dance event festival dance light party dance real official real event event dance spectacular
25,25,Arts,ticket concert concert concert ticket concert concert ticket ticket
26,26,Society,soviet history public public soviet public history soviet history
27,27,Society,history public history soviet public history soviet public soviet
